Pricing Option,Call Point,PPG - Item,Promo Description Notes,Promo Description,Custom Pricing Approval Status,Weeks,Price Book Weeks,Weekly Volume (cases per store),Total Cases Budgeted,▼▼▼ RETAILER ▼▼▼,Suggested Retail Price,Suggested Retail Price [Price Book],Retailer Revenue,Net Unit Cost (after scans),Retailer Total COGS,Retailer Margin $,Retailer Margin %,▼▼▼ DISTRIBUTOR ▼▼▼,Net Revenue,Case Cost,Distributor Total COGS,Distributor Gross Margin $,Distributor Gross Margin %,▼▼▼ TALKING RAIN ▼▼▼,TR Revenue,Discount (per case),TR Share of Discount,Scan Back $ (per case),Discount (per case) [Price Book],TR Share of Discount [Price Book],Scan Back $ (per case) [Price Book],Overall TR Discount,TR Net Revenue,TR Total COGS,TR Gross Margin $,TR Gross Margin %
Price 2,Cashwise/Coborns,SI 12/17oz Loose,,$1.25,,,20 wks,21 cs/store,"23,940 cs",,,$ 1.25,"$ 359,100",$ 10.56,"$ 252,806","$ 106,294",29.60%,,"$ 288,716",$ 9.00,"$ 215,460","$ 73,256",28.98%,,"$ 215,460",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 179,550","$ 109,885","$ 69,665",32.33%
Price 3,Cashwise/Coborns,SI 12/17oz Loose,,$1.00,,,12 wks,30 cs/store,"20,520 cs",,,$ 1.00,"$ 246,240",$ 9.24,"$ 189,605","$ 56,635",23.00%,,"$ 235,775",$ 9.00,"$ 184,680","$ 51,095",26.95%,,"$ 184,680",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 138,510","$ 94,187","$ 44,323",24.00%
Price 1,Circle K Florida,SI 12/17oz Loose,,$1.79,,8 wks,,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 10.08,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 2.76,$ 1.68,$ 0,$ 1.68,$ 0,$ 0,$ 0,0%
Price 2,Circle K Florida,SI 12/17oz Loose,,$1.50,,44 wks,,0 cs/store,0 cs,,,$ 1.50,$ 0,$ 10.08,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 2.76,$ 1.68,$ 0,$ 1.68,$ 0,$ 0,$ 0,0%
Price 1,Circle K Heartland,SI 12/17oz Loose,,$1.79,,8 wks,,0 cs/store,0 cs,,,$ 1.79,$ 0,$ 10.08,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 2.76,$ 1.68,$ 0,$ 1.68,$ 0,$ 0,$ 0,0%
Price 2,Circle K Heartland,SI 12/17oz Loose,,$1.50,,44 wks,,0 cs/store,0 cs,,,$ 1.50,$ 0,$ 10.08,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 2.76,$ 1.68,$ 0,$ 1.68,$ 0,$ 0,$ 0,0%
Price 1,Cloningers,SI 12/17oz Loose,,$1.59,,,24 wks,3 cs/store,288 cs,,,$ 1.59,"$ 5,495",$ 12.84,"$ 3,698","$ 1,797",32.70%,,"$ 3,698",$ 9.00,"$ 2,592","$ 1,106",29.91%,,"$ 2,592",,,,$ 0,$ 0,$ 0,$ 0,"$ 2,592","$ 1,322","$ 1,270",49.00%
Price 2,Cloningers,SI 12/17oz Loose,,$1.25,,,16 wks,5 cs/store,320 cs,,,$ 1.25,"$ 4,800",$ 10.20,"$ 3,264","$ 1,536",32.00%,,"$ 3,760",$ 9.00,"$ 2,880",$ 880,26.96%,,"$ 2,880",,,,$ 2.64,$ 1.55,$ 0,$ 1.55,"$ 2,384","$ 1,469",$ 915,31.78%
Price 3,Cloningers,SI 12/17oz Loose,,$1.00,,,12 wks,5 cs/store,240 cs,,,$ 1.00,"$ 2,880",$ 9.24,"$ 2,218",$ 662,23.00%,,"$ 2,758",$ 9.00,"$ 2,160",$ 597.6,26.95%,,"$ 2,160",,,,$ 3.60,$ 2.25,$ 0,$ 2.25,"$ 1,620","$ 1,102",$ 518,24.00%
Price 1,Cosentinos -Price Chopper,SI 12/17oz Loose,,$1.59,,,0 wks,0 cs/store,0 cs,,,$ 1.59,$ 0,$ 12.84,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
