Pricing Option,Call Point,PPG - Item,Promo Description Notes,Promo Description,Custom Pricing Approval Status,Weeks,Price Book Weeks,Weekly Volume (cases per store),Total Cases Budgeted,▼▼▼ RETAILER ▼▼▼,Suggested Retail Price,Suggested Retail Price [Price Book],Retailer Revenue,Net Unit Cost (after scans),Retailer Total COGS,Retailer Margin $,Retailer Margin %,▼▼▼ DISTRIBUTOR ▼▼▼,Net Revenue,Case Cost,Distributor Total COGS,Distributor Gross Margin $,Distributor Gross Margin %,▼▼▼ TALKING RAIN ▼▼▼,TR Revenue,Discount (per case),TR Share of Discount,Scan Back $ (per case),Discount (per case) [Price Book],TR Share of Discount [Price Book],Scan Back $ (per case) [Price Book],Overall TR Discount,TR Net Revenue,TR Total COGS,TR Gross Margin $,TR Gross Margin %
Price 2,Heinen,SI 12/17oz 12pk,,$12.99,,,28 wks,0.1 cs/store,64.4 cs,,,$ 12.99,$ 836.6,$ 10.56,$ 680,$ 156,18.71%,,$ 776.7,$ 9.00,$ 580,$ 197.1,28.98%,,$ 579.6,,,,$ 2.28,$ 1.5,$ 0,$ 1.50,$ 483,$ 334,$ 149,25.78%
Price 3,Heinen,SI 12/17oz 12pk,,$11.99,,,8 wks,0.1 cs/store,18.4 cs,,,$ 11.99,$ 220.6,$ 9.72,$ 179,$ 42,18.93%,,$ 214.9,$ 9.00,$ 166,$ 49.31,27.57%,,$ 165.6,,,,$ 3.12,$ 1.96,$ 0,$ 1.96,$ 130,$ 95,$ 34,20.67%
Price 1,Holiday Quality/SavMor,SI 12/17oz 12pk,,$15.99,,,16 wks,1.5 cs/store,480 cs,,,$ 15.99,"$ 7,675",$ 12.84,"$ 6,163","$ 1,512",19.70%,,"$ 6,163",$ 9.00,"$ 4,320","$ 1,843",29.91%,,"$ 4,320",,,,$ 0,$ 0,$ 0,$ 0,"$ 4,320","$ 2,486","$ 1,834",42.44%
Price 2,Holiday Quality/SavMor,SI 12/17oz 12pk,,$12.99,,,28 wks,2 cs/store,"1,120 cs",,,$ 12.99,"$ 14,549",$ 10.56,"$ 11,827","$ 2,722",18.71%,,"$ 13,507",$ 9.00,"$ 10,080","$ 3,427",28.98%,,"$ 10,080",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 8,400","$ 5,802","$ 2,598",25.78%
Price 3,Holiday Quality/SavMor,SI 12/17oz 12pk,,$11.99,,,8 wks,3 cs/store,480 cs,,,$ 11.99,"$ 5,755",$ 9.72,"$ 4,666","$ 1,090",18.93%,,"$ 5,606",$ 9.00,"$ 4,320","$ 1,286",27.57%,,"$ 4,320",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 3,379","$ 2,486",$ 893,20.67%
Price 1,Homeland-OK,SI 12/17oz 12pk,,$15.99,,,16 wks,1 cs/store,"1,296 cs",,,$ 15.99,"$ 20,723",$ 12.84,"$ 16,641","$ 4,082",19.70%,,"$ 16,641",$ 9.00,"$ 11,664","$ 4,977",29.91%,,"$ 11,664",,,,$ 0,$ 0,$ 0,$ 0,"$ 11,664","$ 6,713","$ 4,951",42.44%
Price 2,Homeland-OK,SI 12/17oz 12pk,,$12.99,,,28 wks,3 cs/store,"6,804 cs",,,$ 12.99,"$ 88,384",$ 10.56,"$ 71,850","$ 16,534",18.71%,,"$ 82,056",$ 9.00,"$ 61,236","$ 20,820",28.98%,,"$ 61,236",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 51,030","$ 35,245","$ 15,785",25.78%
Price 3,Homeland-OK,SI 12/17oz 12pk,,$11.99,,,8 wks,4 cs/store,"2,592 cs",,,$ 11.99,"$ 31,078",$ 9.72,"$ 25,194","$ 5,884",18.93%,,"$ 30,275",$ 9.00,"$ 23,328","$ 6,947",27.57%,,"$ 23,328",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 18,248","$ 13,427","$ 4,821",20.67%
Price 1,Hornbachers,SI 12/17oz 12pk,,$15.99,,,16 wks,7 cs/store,896 cs,,,$ 15.99,"$ 14,327",$ 12.84,"$ 11,505","$ 2,822",19.70%,,"$ 11,505",$ 9.00,"$ 8,064","$ 3,441",29.91%,,"$ 8,064",,,,$ 0,$ 0,$ 0,$ 0,"$ 8,064","$ 4,641","$ 3,423",42.44%
Price 2,Hornbachers,SI 12/17oz 12pk,,$12.99,,,28 wks,12 cs/store,"2,688 cs",,,$ 12.99,"$ 34,917",$ 10.56,"$ 28,385","$ 6,532",18.71%,,"$ 32,417",$ 9.00,"$ 24,192","$ 8,225",28.98%,,"$ 24,192",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 20,160","$ 13,924","$ 6,236",25.78%
Price 3,Hornbachers,SI 12/17oz 12pk,,$11.99,,,8 wks,17 cs/store,"1,088 cs",,,$ 11.99,"$ 13,045",$ 9.72,"$ 10,575","$ 2,470",18.93%,,"$ 12,708",$ 9.00,"$ 9,792","$ 2,916",27.57%,,"$ 9,792",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 7,660","$ 5,636","$ 2,024",20.67%
Price 1,Houchens,SI 12/17oz 12pk,,$15.99,,,16 wks,1 cs/store,"1,088 cs",,,$ 15.99,"$ 17,397",$ 12.84,"$ 13,970","$ 3,427",19.70%,,"$ 13,970",$ 9.00,"$ 9,792","$ 4,178",29.91%,,"$ 9,792",,,,$ 0,$ 0,$ 0,$ 0,"$ 9,792","$ 5,636","$ 4,156",42.44%
Price 2,Houchens,SI 12/17oz 12pk,,$12.99,,,28 wks,1.4 cs/store,"2,666 cs",,,$ 12.99,"$ 34,626",$ 10.56,"$ 28,149","$ 6,477",18.71%,,"$ 32,147",$ 9.00,"$ 23,990","$ 8,157",28.98%,,"$ 23,990",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 19,992","$ 13,808","$ 6,184",25.78%
Price 3,Houchens,SI 12/17oz 12pk,,$11.99,,,8 wks,2 cs/store,"1,088 cs",,,$ 11.99,"$ 13,045",$ 9.72,"$ 10,575","$ 2,470",18.93%,,"$ 12,708",$ 9.00,"$ 9,792","$ 2,916",27.57%,,"$ 9,792",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 7,660","$ 5,636","$ 2,024",20.67%
Price 1,Hugo's Supermarkets,SI 12/17oz 12pk,,$15.99,,,12 wks,3.3 cs/store,475.2 cs,,,$ 15.99,"$ 7,598",$ 12.84,"$ 6,102","$ 1,497",19.70%,,"$ 6,102",$ 9.00,"$ 4,277","$ 1,825",29.91%,,"$ 4,277",,,,$ 0,$ 0,$ 0,$ 0,"$ 4,277","$ 2,462","$ 1,815",42.44%
Price 2,Hugo's Supermarkets,SI 12/17oz 12pk,,$12.99,,,28 wks,4.5 cs/store,"1,512 cs",,,$ 12.99,"$ 19,641",$ 10.56,"$ 15,967","$ 3,674",18.71%,,"$ 18,235",$ 9.00,"$ 13,608","$ 4,627",28.98%,,"$ 13,608",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 11,340","$ 7,832","$ 3,508",25.78%
Price 3,Hugo's Supermarkets,SI 12/17oz 12pk,,$11.99,,,12 wks,5.5 cs/store,792 cs,,,$ 11.99,"$ 9,496",$ 9.72,"$ 7,698","$ 1,798",18.93%,,"$ 9,251",$ 9.00,"$ 7,128","$ 2,123",27.57%,,"$ 7,128",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 5,576","$ 4,103","$ 1,473",20.67%
Price 1,HyVee,SI 12/17oz 12pk,,$15.99,,,12 wks,8 cs/store,"28,800 cs",,,$ 15.99,"$ 460,512",$ 12.84,"$ 369,792","$ 90,720",19.70%,,"$ 369,792",$ 9.00,"$ 259,200","$ 110,592",29.91%,,"$ 259,200",,,,$ 0,$ 0,$ 0,$ 0,"$ 259,200","$ 149,184","$ 110,016",42.44%
Price 2,HyVee,SI 12/17oz 12pk,,$12.99,,,28 wks,9 cs/store,"75,600 cs",,,$ 12.99,"$ 982,044",$ 10.56,"$ 798,336","$ 183,708",18.71%,,"$ 911,736",$ 9.00,"$ 680,400","$ 231,336",28.98%,,"$ 680,400",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 567,000","$ 391,608","$ 175,392",25.78%
Price 3,HyVee,SI 12/17oz 12pk,,$11.99,,,12 wks,13 cs/store,"46,800 cs",,,$ 11.99,"$ 561,132",$ 9.72,"$ 454,896","$ 106,236",18.93%,,"$ 546,624",$ 9.00,"$ 421,200","$ 125,424",27.57%,,"$ 421,200",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 329,472","$ 242,424","$ 87,048",20.67%
Price 1,Ingles Markets,SI 12/17oz 12pk,,$15.99,,,12 wks,3.5 cs/store,"8,316 cs",,,$ 15.99,"$ 132,973",$ 12.84,"$ 106,777","$ 26,195",19.70%,,"$ 106,777",$ 9.00,"$ 74,844","$ 31,933",29.91%,,"$ 74,844",,,,$ 0,$ 0,$ 0,$ 0,"$ 74,844","$ 43,077","$ 31,767",42.44%
Price 2,Ingles Markets,SI 12/17oz 12pk,,$12.99,,,28 wks,3 cs/store,"16,632 cs",,,$ 12.99,"$ 216,050",$ 10.56,"$ 175,634","$ 40,416",18.71%,,"$ 200,582",$ 9.00,"$ 149,688","$ 50,894",28.98%,,"$ 149,688",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 124,740","$ 86,154","$ 38,586",25.78%
Price 3,Ingles Markets,SI 12/17oz 12pk,,$11.99,,,12 wks,9.5 cs/store,"22,572 cs",,,$ 11.99,"$ 270,638",$ 9.72,"$ 219,400","$ 51,238",18.93%,,"$ 263,641",$ 9.00,"$ 203,148","$ 60,493",27.57%,,"$ 203,148",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 158,907","$ 116,923","$ 41,984",20.67%
Price 1,Jacks Fruit & Meat,SI 12/17oz 12pk,,$15.99,,,16 wks,0.5 cs/store,48 cs,,,$ 15.99,$ 767.5,$ 12.84,$ 616,$ 151,19.70%,,$ 616.3,$ 9.00,$ 432,$ 184.3,29.91%,,$ 432,,,,$ 0,$ 0,$ 0,$ 0,$ 432,$ 249,$ 183,42.44%
Price 2,Jacks Fruit & Meat,SI 12/17oz 12pk,,$12.99,,,28 wks,1 cs/store,168 cs,,,$ 12.99,"$ 2,182",$ 10.56,"$ 1,774",$ 408,18.71%,,"$ 2,026",$ 9.00,"$ 1,512",$ 514.1,28.98%,,"$ 1,512",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 1,260",$ 870,$ 390,25.78%
Price 3,Jacks Fruit & Meat,SI 12/17oz 12pk,,$11.99,,,8 wks,1.5 cs/store,72 cs,,,$ 11.99,$ 863.3,$ 9.72,$ 700,$ 163,18.93%,,$ 841.,$ 9.00,$ 648,$ 193.,27.57%,,$ 648,,,,$ 3.12,$ 1.96,$ 0,$ 1.96,$ 507,$ 373,$ 134,20.67%
Price 1,Jerrys Foods,SI 12/17oz 12pk,,$15.99,,,16 wks,6.8 cs/store,544 cs,,,$ 15.99,"$ 8,699",$ 12.84,"$ 6,985","$ 1,714",19.70%,,"$ 6,985",$ 9.00,"$ 4,896","$ 2,089",29.91%,,"$ 4,896",,,,$ 0,$ 0,$ 0,$ 0,"$ 4,896","$ 2,818","$ 2,078",42.44%
Price 2,Jerrys Foods,SI 12/17oz 12pk,,$12.99,,,28 wks,12 cs/store,"1,680 cs",,,$ 12.99,"$ 21,823",$ 10.56,"$ 17,741","$ 4,082",18.71%,,"$ 20,261",$ 9.00,"$ 15,120","$ 5,141",28.98%,,"$ 15,120",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 12,600","$ 8,702","$ 3,898",25.78%
Price 3,Jerrys Foods,SI 12/17oz 12pk,,$11.99,,,8 wks,17 cs/store,680 cs,,,$ 11.99,"$ 8,153",$ 9.72,"$ 6,610","$ 1,544",18.93%,,"$ 7,942",$ 9.00,"$ 6,120","$ 1,822",27.57%,,"$ 6,120",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 4,787","$ 3,522","$ 1,265",20.67%
Price 1,JONS Marketplace,SI 12/17oz 12pk,,$15.99,,,16 wks,0.1 cs/store,20.8 cs,,,$ 15.99,$ 332.6,$ 12.84,$ 267,$ 66,19.70%,,$ 267.1,$ 9.00,$ 187,$ 79.87,29.91%,,$ 187.2,,,,$ 0,$ 0,$ 0,$ 0,$ 187,$ 108,$ 79,42.44%
Price 2,JONS Marketplace,SI 12/17oz 12pk,,$12.99,,,28 wks,0.4 cs/store,145.6 cs,,,$ 12.99,"$ 1,891",$ 10.56,"$ 1,538",$ 354,18.71%,,"$ 1,756",$ 9.00,"$ 1,310",$ 445.5,28.98%,,"$ 1,310",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 1,092",$ 754,$ 338,25.78%
Price 3,JONS Marketplace,SI 12/17oz 12pk,,$11.99,,,8 wks,0.9 cs/store,93.6 cs,,,$ 11.99,"$ 1,122",$ 9.72,$ 910,$ 212,18.93%,,"$ 1,093",$ 9.00,$ 842,$ 250.8,27.57%,,$ 842.4,,,,$ 3.12,$ 1.96,$ 0,$ 1.96,$ 659,$ 485,$ 174,20.67%
Price 1,Jungle Jims,SI 12/17oz 12pk,,$15.99,,,16 wks,2 cs/store,64 cs,,,$ 15.99,"$ 1,023",$ 12.84,$ 822,$ 202,19.70%,,$ 821.8,$ 9.00,$ 576,$ 245.8,29.91%,,$ 576,,,,$ 0,$ 0,$ 0,$ 0,$ 576,$ 332,$ 244,42.44%
Price 2,Jungle Jims,SI 12/17oz 12pk,,$12.99,,,28 wks,4 cs/store,224 cs,,,$ 12.99,"$ 2,910",$ 10.56,"$ 2,365",$ 544,18.71%,,"$ 2,701",$ 9.00,"$ 2,016",$ 685.4,28.98%,,"$ 2,016",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 1,680","$ 1,160",$ 520,25.78%
Price 3,Jungle Jims,SI 12/17oz 12pk,,$11.99,,,8 wks,14 cs/store,224 cs,,,$ 11.99,"$ 2,686",$ 9.72,"$ 2,177",$ 508,18.93%,,"$ 2,616",$ 9.00,"$ 2,016",$ 600.3,27.57%,,"$ 2,016",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 1,577","$ 1,160",$ 417,20.67%
Price 1,Knowlans Festival,SI 12/17oz 12pk,,$15.99,,,12 wks,2.6 cs/store,249.6 cs,,,$ 15.99,"$ 3,991",$ 12.84,"$ 3,205",$ 786,19.70%,,"$ 3,205",$ 9.00,"$ 2,246",$ 958.5,29.91%,,"$ 2,246",,,,$ 0,$ 0,$ 0,$ 0,"$ 2,246","$ 1,293",$ 953,42.44%
Price 2,Knowlans Festival,SI 12/17oz 12pk,,$12.99,,,28 wks,3.5 cs/store,784 cs,,,$ 12.99,"$ 10,184",$ 10.56,"$ 8,279","$ 1,905",18.71%,,"$ 9,455",$ 9.00,"$ 7,056","$ 2,399",28.98%,,"$ 7,056",,,,$ 2.28,$ 1.5,$ 0,$ 1.50,"$ 5,880","$ 4,061","$ 1,819",25.78%
Price 3,Knowlans Festival,SI 12/17oz 12pk,,$11.99,,,12 wks,4.6 cs/store,441.6 cs,,,$ 11.99,"$ 5,295",$ 9.72,"$ 4,292","$ 1,002",18.93%,,"$ 5,158",$ 9.00,"$ 3,974","$ 1,183",27.57%,,"$ 3,974",,,,$ 3.12,$ 1.96,$ 0,$ 1.96,"$ 3,109","$ 2,287",$ 821,20.67%
Price 1,Kowalskis Markets,SI 12/17oz 12pk,,$15.99,,,16 wks,0.1 cs/store,19.2 cs,,,$ 15.99,$ 307.,$ 12.84,$ 247,$ 60,19.70%,,$ 246.5,$ 9.00,$ 173,$ 73.73,29.91%,,$ 172.8,,,,$ 0,$ 0,$ 0,$ 0,$ 173,$ 99,$ 73,42.44%
Price 2,Kowalskis Markets,SI 12/17oz 12pk,,$12.99,,,28 wks,0.23 cs/store,77.28 cs,,,$ 12.99,"$ 1,004",$ 10.56,$ 816,$ 188,18.71%,,$ 932.,$ 9.00,$ 696,$ 236.5,28.98%,,$ 695.5,,,,$ 2.28,$ 1.5,$ 0,$ 1.50,$ 580,$ 400,$ 179,25.78%
Price 3,Kowalskis Markets,SI 12/17oz 12pk,,$11.99,,,8 wks,0.4 cs/store,38.4 cs,,,$ 11.99,$ 460.4,$ 9.72,$ 373,$ 87,18.93%,,$ 448.5,$ 9.00,$ 346,$ 102.9,27.57%,,$ 345.6,,,,$ 3.12,$ 1.96,$ 0,$ 1.96,$ 270,$ 199,$ 71,20.67%
Price 1,Kroger,SI 12/17oz 12pk,,$14.99,,,0 wks,0 cs/store,0 cs,,,$ 14.99,$ 0,$ 10.94,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 1.90,$ 0.95,$ 0,$ 0.95,$ 0,$ 0,$ 0,0%
Price 2,Kroger,SI 12/17oz 12pk,,$12.99,,,6 wks,0 cs/store,0 cs,,,$ 12.99,$ 0,$ 9.88,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 2.70,$ 1.54,$ 0.26,$ 1.80,$ 0,$ 0,$ 0,0%
Price 3,Kroger,SI 12/17oz 12pk,,$11.99,,,17 wks,0 cs/store,0 cs,,,$ 11.99,$ 0,$ 9.12,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 3.60,$ 2.2,$ 0.12,$ 2.32,$ 0,$ 0,$ 0,0%
Price 1,Kroger ATL,SI 12/17oz 12pk,,$14.99,,,0 wks,12 cs/store,0 cs,,,$ 14.99,$ 0,$ 10.94,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 1.90,$ 0.95,$ 0,$ 0.95,$ 0,$ 0,$ 0,0%
Price 2,Kroger ATL,SI 12/17oz 12pk,,$12.99,,,6 wks,15 cs/store,"16,380 cs",,,$ 12.99,"$ 212,776",$ 9.88,"$ 161,834","$ 50,942",23.94%,,"$ 191,318",$ 9.00,"$ 147,420","$ 43,898",26.43%,,"$ 147,420",,,,$ 2.70,$ 1.54,$ 0.26,$ 1.80,"$ 117,936","$ 84,848","$ 33,088",22.44%
Price 3,Kroger ATL,SI 12/17oz 12pk,,$11.99,,,17 wks,19 cs/store,"58,786 cs",,,$ 11.99,"$ 704,844",$ 9.12,"$ 536,128","$ 168,716",23.94%,,"$ 672,512",$ 9.00,"$ 529,074","$ 143,438",26.41%,,"$ 529,074",,,,$ 3.60,$ 2.2,$ 0.12,$ 2.32,"$ 392,690","$ 304,511","$ 88,179",16.67%
Price 4,Kroger ATL,SI 12/17oz 12pk,,$12.99 REVISED,,,29 wks,15 cs/store,"79,170 cs",,,$ 12.99,"$ 1,028,418",$ 9.88,"$ 782,200","$ 246,219",23.94%,,"$ 921,539",$ 9.00,"$ 712,530","$ 209,009",26.40%,,"$ 712,530",,,,$ 2.84,$ 1.64,$ 0.12,$ 1.76,"$ 573,191","$ 410,101","$ 163,090",22.89%
Price 1,Kroger Central,SI 12/17oz 12pk,,$14.99,,,4 wks,10.9 cs/store,"5,930 cs",,,$ 14.99,"$ 88,885",$ 9.84,"$ 58,347","$ 30,537",34.36%,,,,,,,,"$ 58,347",,,,$ 0,$ 0,$ 0,$ 0,"$ 58,347","$ 30,715","$ 27,632",47.36%
Price 2,Kroger Central,SI 12/17oz 12pk,,$12.99,,,24 wks,12.6 cs/store,"41,126 cs",,,$ 12.99,"$ 534,232",$ 8.71,"$ 358,211","$ 176,021",32.95%,,,,,,,,"$ 358,211",,,,$ 0,$ 0,$ 1.13,$ 1.13,"$ 311,738","$ 213,035","$ 98,703",24.39%
Price 3,Kroger Central,SI 12/17oz 12pk,,$11.99,,,24 wks,13 cs/store,"42,432 cs",,,$ 11.99,"$ 508,760",$ 8.04,"$ 341,153","$ 167,606",32.94%,,,,,,,,"$ 341,153",,,,$ 0,$ 0,$ 1.80,$ 1.80,"$ 264,776","$ 219,798","$ 44,978",10.77%
Price 1,Kroger Cincy,SI 12/17oz 12pk,,$14.99,,,4 wks,15 cs/store,"8,340 cs",,,$ 14.99,"$ 125,017",$ 9.84,"$ 82,066","$ 42,951",34.36%,,,,,,,,"$ 82,066",,,,$ 0,$ 0,$ 0,$ 0,"$ 82,066","$ 43,201","$ 38,864",47.36%
Price 2,Kroger Cincy,SI 12/17oz 12pk,,$12.99,,,24 wks,16 cs/store,"53,376 cs",,,$ 12.99,"$ 693,354",$ 8.71,"$ 464,905","$ 228,449",32.95%,,,,,,,,"$ 464,905",,,,$ 0,$ 0,$ 1.13,$ 1.13,"$ 404,590","$ 276,488","$ 128,102",24.39%
Price 3,Kroger Cincy,SI 12/17oz 12pk,,$11.99,,,24 wks,18 cs/store,"60,048 cs",,,$ 11.99,"$ 719,976",$ 8.04,"$ 482,786","$ 237,190",32.94%,,,,,,,,"$ 482,786",,,,$ 0,$ 0,$ 1.80,$ 1.80,"$ 374,700","$ 311,049","$ 63,651",10.77%
Price 1,Kroger Columbus,SI 12/17oz 12pk,,$14.99,,,4 wks,13 cs/store,"5,980 cs",,,$ 14.99,"$ 89,640",$ 9.84,"$ 58,843","$ 30,797",34.36%,,,,,,,,"$ 58,843",,,,$ 0,$ 0,$ 0,$ 0,"$ 58,843","$ 30,976","$ 27,867",47.36%
Price 2,Kroger Columbus,SI 12/17oz 12pk,,$12.99,,,24 wks,15 cs/store,"41,400 cs",,,$ 12.99,"$ 537,786",$ 8.71,"$ 360,594","$ 177,192",32.95%,,,,,,,,"$ 360,594",,,,$ 0,$ 0,$ 1.13,$ 1.13,"$ 313,812","$ 214,452","$ 99,360",24.39%
Price 3,Kroger Columbus,SI 12/17oz 12pk,,$11.99,,,24 wks,17 cs/store,"46,920 cs",,,$ 11.99,"$ 562,571",$ 8.04,"$ 377,237","$ 185,334",32.94%,,,,,,,,"$ 377,237",,,,$ 0,$ 0,$ 1.80,$ 1.80,"$ 292,781","$ 243,046","$ 49,735",10.77%
Price 1,Kroger Dallas,SI 12/17oz 12pk,,$14.99,,,4 wks,11.1 cs/store,"4,884 cs",,,$ 14.99,"$ 73,211",$ 9.84,"$ 48,059","$ 25,153",34.36%,,,,,,,,"$ 48,059",,,,$ 0,$ 0,$ 0,$ 0,"$ 48,059","$ 25,299","$ 22,759",47.36%
Price 2,Kroger Dallas,SI 12/17oz 12pk,,$12.99,,,24 wks,12.9 cs/store,"34,056 cs",,,$ 12.99,"$ 442,387",$ 8.71,"$ 296,628","$ 145,760",32.95%,,,,,,,,"$ 296,628",,,,$ 0,$ 0,$ 1.13,$ 1.13,"$ 258,144","$ 176,410","$ 81,734",24.39%
Price 3,Kroger Dallas,SI 12/17oz 12pk,,$11.99,,,24 wks,14 cs/store,"36,960 cs",,,$ 11.99,"$ 443,150",$ 8.04,"$ 297,158","$ 145,992",32.94%,,,,,,,,"$ 297,158",,,,$ 0,$ 0,$ 1.80,$ 1.80,"$ 230,630","$ 191,453","$ 39,178",10.77%
Price 1,Kroger Delta,SI 12/17oz 12pk,,$14.99,,,4 wks,8 cs/store,"2,976 cs",,,$ 14.99,"$ 44,610",$ 9.84,"$ 29,284","$ 15,326",34.36%,,,,,,,,"$ 29,284",,,,$ 0,$ 0,$ 0,$ 0,"$ 29,284","$ 15,416","$ 13,868",47.36%
Price 2,Kroger Delta,SI 12/17oz 12pk,,$12.99,,,24 wks,9 cs/store,"20,088 cs",,,$ 12.99,"$ 260,943",$ 8.71,"$ 174,966","$ 85,977",32.95%,,,,,,,,"$ 174,966",,,,$ 0,$ 0,$ 1.13,$ 1.13,"$ 152,267","$ 104,056","$ 48,211",24.39%
Price 3,Kroger Delta,SI 12/17oz 12pk,,$11.99,,,24 wks,11 cs/store,"24,552 cs",,,$ 11.99,"$ 294,378",$ 8.04,"$ 197,398","$ 96,980",32.94%,,,,,,,,"$ 197,398",,,,$ 0,$ 0,$ 1.80,$ 1.80,"$ 153,204","$ 127,179","$ 26,025",10.77%
Price 1,Kroger Dillon,SI 12/17oz 12pk,,$14.99,,,4 wks,8 cs/store,"2,656 cs",,,$ 14.99,"$ 39,813",$ 9.84,"$ 26,135","$ 13,678",34.36%,,,,,,,,"$ 26,135",,,,$ 0,$ 0,$ 0,$ 0,"$ 26,135","$ 13,758","$ 12,377",47.36%
Price 2,Kroger Dillon,SI 12/17oz 12pk,,$12.99,,,24 wks,9 cs/store,"17,928 cs",,,$ 12.99,"$ 232,885",$ 8.71,"$ 156,153","$ 76,732",32.95%,,,,,,,,"$ 156,153",,,,$ 0,$ 0,$ 1.13,$ 1.13,"$ 135,894","$ 92,867","$ 43,027",24.39%
Price 3,Kroger Dillon,SI 12/17oz 12pk,,$11.99,,,24 wks,11 cs/store,"21,912 cs",,,$ 11.99,"$ 262,725",$ 8.04,"$ 176,172","$ 86,552",32.94%,,,,,,,,"$ 176,172",,,,$ 0,$ 0,$ 1.80,$ 1.80,"$ 136,731","$ 113,504","$ 23,227",10.77%
Price 1,Kroger Food 4 Less CA,SI 12/17oz 12pk,,$14.99,,,4 wks,8 cs/store,"3,520 cs",,,$ 14.99,"$ 52,765",$ 9.84,"$ 34,637","$ 18,128",34.36%,,,,,,,,"$ 34,637",,,,$ 0,$ 0,$ 0,$ 0,"$ 34,637","$ 18,234","$ 16,403",47.36%
Price 2,Kroger Food 4 Less CA,SI 12/17oz 12pk,,$12.99,,,24 wks,9 cs/store,"23,760 cs",,,$ 12.99,"$ 308,642",$ 8.71,"$ 206,950","$ 101,693",32.95%,,,,,,,,"$ 206,950",,,,$ 0,$ 0,$ 1.13,$ 1.13,"$ 180,101","$ 123,077","$ 57,024",24.39%
Price 3,Kroger Food 4 Less CA,SI 12/17oz 12pk,,$11.99,,,24 wks,10 cs/store,"26,400 cs",,,$ 11.99,"$ 316,536",$ 8.04,"$ 212,256","$ 104,280",32.94%,,,,,,,,"$ 212,256",,,,$ 0,$ 0,$ 1.80,$ 1.80,"$ 164,736","$ 136,752","$ 27,984",10.77%
Price 1,Kroger Food 4 Less IL,SI 12/17oz 12pk,,$14.99,,,0 wks,5 cs/store,0 cs,,,$ 14.99,$ 0,$ 10.94,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 1.90,$ 0.95,$ 0,$ 0.95,$ 0,$ 0,$ 0,0%
Price 2,Kroger Food 4 Less IL,SI 12/17oz 12pk,,$12.99,,,6 wks,6 cs/store,396 cs,,,$ 12.99,"$ 5,144",$ 9.88,"$ 3,912","$ 1,232",23.94%,,"$ 4,625",$ 9.00,"$ 3,564","$ 1,061",26.43%,,"$ 3,564",,,,$ 2.70,$ 1.54,$ 0.26,$ 1.80,"$ 2,851","$ 2,051",$ 800,22.44%
Price 3,Kroger Food 4 Less IL,SI 12/17oz 12pk,,$11.99,,,17 wks,8 cs/store,"1,496 cs",,,$ 11.99,"$ 17,937",$ 9.12,"$ 13,644","$ 4,294",23.94%,,"$ 17,114",$ 9.00,"$ 13,464","$ 3,650",26.41%,,"$ 13,464",,,,$ 3.60,$ 2.2,$ 0.12,$ 2.32,"$ 9,993","$ 7,749","$ 2,244",16.67%
Price 4,Kroger Food 4 Less IL,SI 12/17oz 12pk,,$12.99 REVISED,,,29 wks,6 cs/store,"1,914 cs",,,$ 12.99,"$ 24,863",$ 9.88,"$ 18,910","$ 5,953",23.94%,,"$ 22,279",$ 9.00,"$ 17,226","$ 5,053",26.40%,,"$ 17,226",,,,$ 2.84,$ 1.64,$ 0.12,$ 1.76,"$ 13,857","$ 9,915","$ 3,943",22.89%
